issue_date,series,security_type,cusip,maturity_date,rate,total_issue_amt,investor_class,allotment_amt
2020-01-16,Bills,,912796SZ3,2020-07-16,1.53,,"Dealers 
 and 
 brokers",22.76426
2020-01-16,Bills,,912796SZ3,2020-07-16,1.53,,"Depository 
 institutions",0.0177948
2020-01-16,Bills,,912796SZ3,2020-07-16,1.53,,"Foreign 
 and  
 international",6.1876
2020-01-16,Bills,,912796SZ3,2020-07-16,1.53,,Individuals,0.9061699
2020-01-16,Bills,,912796SZ3,2020-07-16,1.53,,"Investment 
 funds",6.086424
2020-01-16,Bills,,912796SZ3,2020-07-16,1.53,,"Other 
 (see category 
 description)",0.038773
2020-01-16,Bills,,912796SZ3,2020-07-16,1.53,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-16,Bills,,912796SZ3,2020-07-16,1.53,,"Total 
 issue",38.542714
2020-01-16,Bills,,912796TR0,2020-04-16,1.53,,"(SOMA) 
 Federal 
 Reserve 
 banks",2.9653077
2020-01-16,Bills,,912796TR0,2020-04-16,1.53,,"Dealers 
 and 
 brokers",26.8420035
2020-01-16,Bills,,912796TR0,2020-04-16,1.53,,"Depository 
 institutions",0.512
2020-01-16,Bills,,912796TR0,2020-04-16,1.53,,"Foreign 
 and  
 international",1.654025
2020-01-16,Bills,,912796TR0,2020-04-16,1.53,,Individuals,1.3317619
2020-01-16,Bills,,912796TR0,2020-04-16,1.53,,"Investment 
 funds",11.5736045
2020-01-16,Bills,,912796TR0,2020-04-16,1.53,,"Other 
 (see category 
 description)",0.089607
2020-01-16,Bills,,912796TR0,2020-04-16,1.53,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-16,Bills,,912796TR0,2020-04-16,1.53,,"Total 
 issue",44.9683096
2020-01-21,Bills,,912796WT2,2020-02-18,1.505,,"(SOMA) 
 Federal 
 Reserve 
 banks",1.6294722
2020-01-21,Bills,,912796WT2,2020-02-18,1.505,,"Dealers 
 and 
 brokers",17.57635
2020-01-21,Bills,,912796WT2,2020-02-18,1.505,,"Depository 
 institutions",0.005
2020-01-21,Bills,,912796WT2,2020-02-18,1.505,,"Foreign 
 and  
 international",0.8545
2020-01-21,Bills,,912796WT2,2020-02-18,1.505,,Individuals,1.5901844
2020-01-21,Bills,,912796WT2,2020-02-18,1.505,,"Investment 
 funds",14.9148789
2020-01-21,Bills,,912796WT2,2020-02-18,1.505,,"Other 
 (see category 
 description)",0.06791
2020-01-21,Bills,,912796WT2,2020-02-18,1.505,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-21,Bills,,912796WT2,2020-02-18,1.505,,"Total 
 issue",36.6382955
2020-01-21,Bills,,912796XB0,2020-03-17,1.53,,"(SOMA) 
 Federal 
 Reserve 
 banks",1.6294722
2020-01-21,Bills,,912796XB0,2020-03-17,1.53,,"Dealers 
 and 
 brokers",19.97643
2020-01-21,Bills,,912796XB0,2020-03-17,1.53,,"Depository 
 institutions",0.005
2020-01-21,Bills,,912796XB0,2020-03-17,1.53,,"Foreign 
 and  
 international",0.65
2020-01-21,Bills,,912796XB0,2020-03-17,1.53,,Individuals,0.3720518
2020-01-21,Bills,,912796XB0,2020-03-17,1.53,,"Investment 
 funds",13.999794
2020-01-21,Bills,,912796XB0,2020-03-17,1.53,,"Other 
 (see category 
 description)",0.0
2020-01-21,Bills,,912796XB0,2020-03-17,1.53,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-21,Bills,,912796XB0,2020-03-17,1.53,,"Total 
 issue",36.632748
2020-01-23,Bills,,912796SM2,2020-04-23,1.53,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.8146924
2020-01-23,Bills,,912796SM2,2020-04-23,1.53,,"Dealers 
 and 
 brokers",23.9856025
2020-01-23,Bills,,912796SM2,2020-04-23,1.53,,"Depository 
 institutions",0.002
2020-01-23,Bills,,912796SM2,2020-04-23,1.53,,"Foreign 
 and  
 international",6.426878
2020-01-23,Bills,,912796SM2,2020-04-23,1.53,,Individuals,1.1569415
2020-01-23,Bills,,912796SM2,2020-04-23,1.53,,"Investment 
 funds",10.3471875
2020-01-23,Bills,,912796SM2,2020-04-23,1.53,,"Other 
 (see category 
 description)",0.0765
2020-01-23,Bills,,912796SM2,2020-04-23,1.53,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-23,Bills,,912796SM2,2020-04-23,1.53,,"Total 
 issue",42.8098019
2020-01-23,Bills,,912796WX3,2020-07-23,1.52,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.6983076
2020-01-23,Bills,,912796WX3,2020-07-23,1.52,,"Dealers 
 and 
 brokers",19.0804075
2020-01-23,Bills,,912796WX3,2020-07-23,1.52,,"Depository 
 institutions",0.0042825
2020-01-23,Bills,,912796WX3,2020-07-23,1.52,,"Foreign 
 and  
 international",8.19852
2020-01-23,Bills,,912796WX3,2020-07-23,1.52,,Individuals,0.8554086
2020-01-23,Bills,,912796WX3,2020-07-23,1.52,,"Investment 
 funds",7.821496
2020-01-23,Bills,,912796WX3,2020-07-23,1.52,,"Other 
 (see category 
 description)",0.039969
2020-01-23,Bills,,912796WX3,2020-07-23,1.52,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-23,Bills,,912796WX3,2020-07-23,1.52,,"Total 
 issue",36.6983912
2020-01-28,Bills,,912796WU9,2020-02-25,1.5,,"(SOMA) 
 Federal 
 Reserve 
 banks",1.5309994
2020-01-28,Bills,,912796WU9,2020-02-25,1.5,,"Dealers 
 and 
 brokers",16.631987
2020-01-28,Bills,,912796WU9,2020-02-25,1.5,,"Depository 
 institutions",0.0
2020-01-28,Bills,,912796WU9,2020-02-25,1.5,,"Foreign 
 and  
 international",0.957
2020-01-28,Bills,,912796WU9,2020-02-25,1.5,,Individuals,1.514987
2020-01-28,Bills,,912796WU9,2020-02-25,1.5,,"Investment 
 funds",20.8460185
2020-01-28,Bills,,912796WU9,2020-02-25,1.5,,"Other 
 (see category 
 description)",0.047775
2020-01-28,Bills,,912796WU9,2020-02-25,1.5,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-28,Bills,,912796WU9,2020-02-25,1.5,,"Total 
 issue",41.5287669
2020-01-28,Bills,,912796XC8,2020-03-24,1.54,,"(SOMA) 
 Federal 
 Reserve 
 banks",1.5309994
2020-01-28,Bills,,912796XC8,2020-03-24,1.54,,"Dealers 
 and 
 brokers",27.5384125
2020-01-28,Bills,,912796XC8,2020-03-24,1.54,,"Depository 
 institutions",0.0
2020-01-28,Bills,,912796XC8,2020-03-24,1.54,,"Foreign 
 and  
 international",0.60764
2020-01-28,Bills,,912796XC8,2020-03-24,1.54,,Individuals,0.2640528
2020-01-28,Bills,,912796XC8,2020-03-24,1.54,,"Investment 
 funds",11.543555
2020-01-28,Bills,,912796XC8,2020-03-24,1.54,,"Other 
 (see category 
 description)",0.01
2020-01-28,Bills,,912796XC8,2020-03-24,1.54,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.035
2020-01-28,Bills,,912796XC8,2020-03-24,1.54,,"Total 
 issue",41.5296597
2020-01-30,Bills,,912796TS8,2020-04-30,1.53,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.6242728
2020-01-30,Bills,,912796TS8,2020-04-30,1.53,,"Dealers 
 and 
 brokers",30.61816
2020-01-30,Bills,,912796TS8,2020-04-30,1.53,,"Depository 
 institutions",0.0054
2020-01-30,Bills,,912796TS8,2020-04-30,1.53,,"Foreign 
 and  
 international",2.800646
2020-01-30,Bills,,912796TS8,2020-04-30,1.53,,Individuals,1.1725071
2020-01-30,Bills,,912796TS8,2020-04-30,1.53,,"Investment 
 funds",10.309505
2020-01-30,Bills,,912796TS8,2020-04-30,1.53,,"Other 
 (see category 
 description)",0.093788
2020-01-30,Bills,,912796TS8,2020-04-30,1.53,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-30,Bills,,912796TS8,2020-04-30,1.53,,"Total 
 issue",45.6242789
2020-01-30,Bills,,912796UC1,2021-01-28,1.49,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.3606909
2020-01-30,Bills,,912796UC1,2021-01-28,1.49,,"Dealers 
 and 
 brokers",18.050897
2020-01-30,Bills,,912796UC1,2021-01-28,1.49,,"Depository 
 institutions",0.0006
2020-01-30,Bills,,912796UC1,2021-01-28,1.49,,"Foreign 
 and  
 international",2.04525
2020-01-30,Bills,,912796UC1,2021-01-28,1.49,,Individuals,0.8605739
2020-01-30,Bills,,912796UC1,2021-01-28,1.49,,"Investment 
 funds",5.039332
2020-01-30,Bills,,912796UC1,2021-01-28,1.49,,"Other 
 (see category 
 description)",0.0
2020-01-30,Bills,,912796UC1,2021-01-28,1.49,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-30,Bills,,912796UC1,2021-01-28,1.49,,"Total 
 issue",26.3573438
2020-01-30,Bills,,912796WY1,2020-07-30,1.535,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.5410363
2020-01-30,Bills,,912796WY1,2020-07-30,1.535,,"Dealers 
 and 
 brokers",30.5785
2020-01-30,Bills,,912796WY1,2020-07-30,1.535,,"Depository 
 institutions",1.0523656
2020-01-30,Bills,,912796WY1,2020-07-30,1.535,,"Foreign 
 and  
 international",2.471
2020-01-30,Bills,,912796WY1,2020-07-30,1.535,,Individuals,0.7740649
2020-01-30,Bills,,912796WY1,2020-07-30,1.535,,"Investment 
 funds",4.076442
2020-01-30,Bills,,912796WY1,2020-07-30,1.535,,"Other 
 (see category 
 description)",0.0392222
2020-01-30,Bills,,912796WY1,2020-07-30,1.535,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-30,Bills,,912796WY1,2020-07-30,1.535,,"Total 
 issue",39.532631
2020-01-31,Coupons,10-Year TIPS Note,912828Z37,2030-01-15,0.125,,"(SOMA) 
 Federal 
 Reserve 
 banks",1.4456305
2020-01-31,Coupons,10-Year TIPS Note,912828Z37,2030-01-15,0.125,,"Dealers 
 and 
 brokers",2.15906
2020-01-31,Coupons,10-Year TIPS Note,912828Z37,2030-01-15,0.125,,"Depository 
 institutions",2.5e-05
2020-01-31,Coupons,10-Year TIPS Note,912828Z37,2030-01-15,0.125,,"Foreign 
 and  
 international",1.1787
2020-01-31,Coupons,10-Year TIPS Note,912828Z37,2030-01-15,0.125,,Individuals,0.0391115
2020-01-31,Coupons,10-Year TIPS Note,912828Z37,2030-01-15,0.125,,"Investment 
 funds",10.44733
2020-01-31,Coupons,10-Year TIPS Note,912828Z37,2030-01-15,0.125,,Other,0.0
2020-01-31,Coupons,10-Year TIPS Note,912828Z37,2030-01-15,0.125,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.175
2020-01-31,Coupons,10-Year TIPS Note,912828Z37,2030-01-15,0.125,,"Total 
 issue",15.444857
2020-01-31,Coupons,2-Year FRN,912828Z45,2022-01-31,0.154,,"(SOMA) 
 Federal 
 Reserve 
 banks",2.0651865
2020-01-31,Coupons,2-Year FRN,912828Z45,2022-01-31,0.154,,"Dealers 
 and 
 brokers",10.041
2020-01-31,Coupons,2-Year FRN,912828Z45,2022-01-31,0.154,,"Depository 
 institutions",0.0
2020-01-31,Coupons,2-Year FRN,912828Z45,2022-01-31,0.154,,"Foreign 
 and  
 international",2.035
2020-01-31,Coupons,2-Year FRN,912828Z45,2022-01-31,0.154,,Individuals,0.0205118
2020-01-31,Coupons,2-Year FRN,912828Z45,2022-01-31,0.154,,"Investment 
 funds",7.2975
2020-01-31,Coupons,2-Year FRN,912828Z45,2022-01-31,0.154,,Other,0.605
2020-01-31,Coupons,2-Year FRN,912828Z45,2022-01-31,0.154,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-31,Coupons,2-Year FRN,912828Z45,2022-01-31,0.154,,"Total 
 issue",22.0641983
2020-01-31,Coupons,5-Year Note,912828Z52,2025-01-31,1.375,,"(SOMA) 
 Federal 
 Reserve 
 banks",4.2336323
2020-01-31,Coupons,5-Year Note,912828Z52,2025-01-31,1.375,,"Dealers 
 and 
 brokers",11.6605128
2020-01-31,Coupons,5-Year Note,912828Z52,2025-01-31,1.375,,"Depository 
 institutions",0.12
2020-01-31,Coupons,5-Year Note,912828Z52,2025-01-31,1.375,,"Foreign 
 and  
 international",4.7011772
2020-01-31,Coupons,5-Year Note,912828Z52,2025-01-31,1.375,,Individuals,0.0274633
2020-01-31,Coupons,5-Year Note,912828Z52,2025-01-31,1.375,,"Investment 
 funds",24.2208666
2020-01-31,Coupons,5-Year Note,912828Z52,2025-01-31,1.375,,Other,0.07
2020-01-31,Coupons,5-Year Note,912828Z52,2025-01-31,1.375,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.2
2020-01-31,Coupons,5-Year Note,912828Z52,2025-01-31,1.375,,"Total 
 issue",45.2336522
2020-01-31,Coupons,2-Year Note,912828Z60,2022-01-31,1.375,,"(SOMA) 
 Federal 
 Reserve 
 banks",4.130373
2020-01-31,Coupons,2-Year Note,912828Z60,2022-01-31,1.375,,"Dealers 
 and 
 brokers",12.398291
2020-01-31,Coupons,2-Year Note,912828Z60,2022-01-31,1.375,,"Depository 
 institutions",0.0
2020-01-31,Coupons,2-Year Note,912828Z60,2022-01-31,1.375,,"Foreign 
 and  
 international",4.8401
2020-01-31,Coupons,2-Year Note,912828Z60,2022-01-31,1.375,,Individuals,0.2604915
2020-01-31,Coupons,2-Year Note,912828Z60,2022-01-31,1.375,,"Investment 
 funds",22.377502
2020-01-31,Coupons,2-Year Note,912828Z60,2022-01-31,1.375,,Other,0.025
2020-01-31,Coupons,2-Year Note,912828Z60,2022-01-31,1.375,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.1
2020-01-31,Coupons,2-Year Note,912828Z60,2022-01-31,1.375,,"Total 
 issue",44.1317575
2020-01-31,Coupons,7-Year Note,912828Z78,2027-01-31,1.5,,"(SOMA) 
 Federal 
 Reserve 
 banks",3.3042983
2020-01-31,Coupons,7-Year Note,912828Z78,2027-01-31,1.5,,"Dealers 
 and 
 brokers",8.670133
2020-01-31,Coupons,7-Year Note,912828Z78,2027-01-31,1.5,,"Depository 
 institutions",0.088
2020-01-31,Coupons,7-Year Note,912828Z78,2027-01-31,1.5,,"Foreign 
 and  
 international",2.9695132
2020-01-31,Coupons,7-Year Note,912828Z78,2027-01-31,1.5,,Individuals,0.0094124
2020-01-31,Coupons,7-Year Note,912828Z78,2027-01-31,1.5,,"Investment 
 funds",20.05686
2020-01-31,Coupons,7-Year Note,912828Z78,2027-01-31,1.5,,Other,0.056084
2020-01-31,Coupons,7-Year Note,912828Z78,2027-01-31,1.5,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.15
2020-01-31,Coupons,7-Year Note,912828Z78,2027-01-31,1.5,,"Total 
 issue",35.3043009
2020-02-04,Bills,,912796WV7,2020-03-03,1.545,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.579317
2020-02-04,Bills,,912796WV7,2020-03-03,1.545,,"Dealers 
 and 
 brokers",31.880445
2020-02-04,Bills,,912796WV7,2020-03-03,1.545,,"Depository 
 institutions",0.0
2020-02-04,Bills,,912796WV7,2020-03-03,1.545,,"Foreign 
 and  
 international",1.5316
2020-02-04,Bills,,912796WV7,2020-03-03,1.545,,Individuals,1.5979509
2020-02-04,Bills,,912796WV7,2020-03-03,1.545,,"Investment 
 funds",9.8982824
2020-02-04,Bills,,912796WV7,2020-03-03,1.545,,"Other 
 (see category 
 description)",0.051967
2020-02-04,Bills,,912796WV7,2020-03-03,1.545,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.04
2020-02-04,Bills,,912796WV7,2020-03-03,1.545,,"Total 
 issue",45.5795623
2020-02-04,Bills,,912796XD6,2020-03-31,1.55,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.579317
2020-02-04,Bills,,912796XD6,2020-03-31,1.55,,"Dealers 
 and 
 brokers",26.676875
2020-02-04,Bills,,912796XD6,2020-03-31,1.55,,"Depository 
 institutions",0.0
